"rank","artist","title","releaseYear","listHighestRank","listYear","listWeek","listNumWeeksBest","listNumWeeks","listType"
1040,"Jay-Z & Alicia Keys","Empire State Of Mind",2009,2,2010,5,4,26,"top40"
1041,"Roxy Music","Avalon",1982,3,1982,31,1,9,"top40"
1042,"The Beatles","Help",1965,1,1965,32,6,24,"top40"
1043,"The Police","Walking On The Moon",1979,9,1980,2,2,9,"top40"
1044,"Lionel Richie","Hello",1984,1,1984,15,4,13,"top40"
1045,"Fats Domino","Blueberry Hill",1957,2,1976,28,1,10,"top40"
1046,"Talk Talk","Life's What You Make It",1985,13,1986,1,2,9,"top40"
1047,"Kodaline","All I Want",2012,34,2012,46,1,4,"top40"
1048,"REO Speedwagon","Keep On Loving You",1981,13,1981,18,1,8,"top40"
1049,"ABBA","Gimme! Gimme! Gimme!",1979,2,1979,46,2,9,"top40"
1050,"Daft Punk","Around The World",1997,21,1997,24,1,5,"top40"
1051,"Bruno Mars","When I Was Your Man",2013,7,2013,11,3,20,"top40"
1052,"Depeche Mode","Personal Jesus",1990,14,1989,44,1,4,"tip"
1053,"Black Keys","Lonely Boy",2011,,,,,,""
1054,"George Michael","Somebody To Love",1993,5,1993,22,1,10,"top40"
1055,"The Cure","Close To Me",1985,21,1985,43,1,7,"top40"
1056,"Donna Summer","MacArthur Park",1978,9,1978,47,3,9,"top40"
1057,"Ramones","Blitzkrieg Bop",1976,,,,,,""
1058,"Tears For Fears","Shout!",1985,1,1985,8,3,14,"top40"
1059,"Yes","Close To The Edge",1972,,,,,,""
1060,"Dolly Parton & Kenny Rogers","Islands In The Stream",1983,4,1983,42,2,9,"top40"
1061,"Emeli Sandé","Clown",2012,4,2013,7,1,12,"tip"
1062,"Cuby & The Blizzards","Somebody Will Know Someday",1967,,,,,,""
1063,"De Dijk","Als Het Golft",2000,8,2000,32,1,7,"tip"
1064,"Lenny Kravitz","Are You Gonna Go My Way",1993,6,1993,12,2,10,"top40"
1065,"Nielson","Sexy Als Ik Dans",2014,12,2014,42,1,21,"top40"
1066,"Phil Collins","I Wish It Would Rain Down",1990,3,1990,8,1,11,"top40"
1067,"Coldplay","Every Teardrop Is A Waterfall",2011,4,2011,28,1,12,"top40"
1068,"Mike Oldfield feat. Maggie Reilly","Moonlight Shadow",1983,2,1983,29,1,12,"top40"
1069,"Coldplay","Speed Of Sound",2005,6,2005,23,1,17,"top40"
1070,"The Cure","Boys Don't Cry",1986,37,1986,26,1,3,"top40"
1071,"Bryan Adams","Heaven",1985,8,1985,32,1,4,"tip"
1072,"Jeroen van Koningsbrugge","Wit Licht",2015,3,2015,21,1,6,"tip"
