"rank","artist","releaseYear"
158,"U2",1984
159,"André Hazes",1990
160,"Guns N' Roses",1989
161,"Michael Jackson",1988
162,"Rammstein",1997
163,"Adele",2010
164,"Adele",2012
165,"The Beatles",1967
166,"Michael Jackson",1995
167,"Marvin Gaye",1971
168,"Iron Maiden",1993
169,"Anouk",1997
170,"Radiohead",1997
171,"Ed Sheeran",2014
172,"André Hazes",2002
173,"Marillion",1985
174,"System Of A Down",2001
175,"Genesis",1983
176,"Simple Minds",1985
177,"Ed Sheeran",2017
178,"The Killers",2005
179,"Jimi Hendrix Experience",1968
180,"Bruce Springsteen",1975
181,"Faithless",1995
182,"Rammstein",2001
183,"Sting",1993
184,"The White Stripes",2003
185,"Ed Sheeran",2017
186,"Dire Straits",1985
187,"John Miles",1976
188,"Eddie Vedder",2007
189,"Bruce Springsteen",1994
190,"Motörhead",1980
191,"Live",1995
192,"ABBA",1980
193,"Soundgarden",1994
194,"Editors",2009
195,"Maaike Ouboter",2013
196,"Charles Aznavour",1974
197,"Queen",1991
198,"Journey",1981
199,"Ramses Shaffy",1971
200,"Stromae",2013
201,"3 Doors Down",2000
202,"The Cranberries",1994
203,"Elvis Presley",1969
204,"Rag'n'Bone Man",2016
205,"Dotan",2014
206,"Chef'Special",2014
207,"Neil Young",1972
208,"U2",2000
209,"Bon Jovi",1993
210,"Queens Of The Stone Age",2002
211,"Freddie Mercury",1987
211,"Montserrat Caballé",1987
212,"Pink Floyd",1971
213,"Paul Simon",1987
214,"Kansas",1978
215,"The Rolling Stones",1969
216,"Creedence Clearwater Revival",1971
217,"Jacques Brel",1965
218,"Kings Of Leon",2008
219,"Adele",2015
220,"Frank Boeijen Groep",1990
221,"The Beach Boys",1966
222,"Muse",2015
223,"10CC",1978
224,"Radiohead",1997
225,"The Beatles",1968
226,"Pharrel Williams",2013
227,"Boston",1977
228,"The Police",1979
229,"Slayer",1986
230,"Kensington",2014
231,"The Cult",1986
232,"George Michael",1984
233,"U2",2007
233,"Mary J. Blige",2007
234,"Golden Earring",1969
235,"Alphaville",1984
236,"Santana",1970
237,"Frank Boeijen Groep",1985
238,"Tracy Chapman",1988
239,"Kayak",1979
240,"Sting",1988
241,"John Legend",2013
242,"The Scene",1991
243,"Scorpions",1991
244,"The Doors",1967
245,"Within Temptation",2002
246,"Nirvana",1991
247,"10CC",1975
248,"Cuby & The Blizzards",1968
249,"Fleetwood Mac",1977
250,"Tina Turner",1971
251,"Led Zeppelin",1975
252,"Fleetwood Mac",1977
253,"Adele",2011
254,"André Hazes",2000
255,"AC/DC",1980
256,"The Who",1971
257,"Bob Marley & The Wailers",1975
258,"De Jeugd Van Tegenwoordig",2010
259,"Bill Withers",1971
260,"Sinead O'Connor",1987
261,"Fleetwood Mac",1980
262,"The Mamas & The Papas",1966
263,"Coldplay",2014
264,"Creedence Clearwater Revival",1969
265,"Queen",1984
266,"Peter Maffay",1971
267,"David Bowie",1971
268,"Alice Cooper",1973
269,"Hozier",2014
270,"Green Day",2004
271,"Bob Marley & The Wailers",1980
272,"Janis Joplin",1971
273,"ABBA",1982
274,"Passenger",2012
275,"Mark & Clark Band",1977
276,"Van Morrison",1967
277,"Boudewijn de Groot",1967
278,"Guns N' Roses",1992
279,"Keane",2004
280,"Volbeat",2013
281,"Jefferson Airplane",1970
282,"Phil Collins",1984
283,"Evanescence",2003
284,"Jason Paige",1997
285,"Creedence Clearwater Revival",1969
286,"Joe Cocker",1968
287,"Peter Fox",2009
288,"Faithless",2004
289,"Eric Clapton",1992
290,"The Police",1983
291,"Peter Gabriel",1977
292,"Kate Bush",1978
293,"Metallica",1984
294,"Kensington",2014
295,"Cat Stevens",1972
296,"Metallica",1991
297,"De Dijk",1994
298,"Leonard Cohen",1968
299,"ABBA",1978
300,"Foreigner",1984
301,"Bløf",2012
302,"Kate Bush",1986
302,"Peter Gabriel",1986
303,"Queensrÿche",1990
304,"Madness",1979
305,"The Rolling Stones",1965
306,"Golden Earring",1982
307,"Bruce Springsteen",1984
308,"Normaal",1982
309,"Eagles",1975
310,"Queen",1974
311,"Imagine Dragons",2012
312,"Snow Patrol",2004
313,"Michel Fugain",1972
314,"Bløf",1998
315,"Lynyrd Skynyrd",1974
316,"Mumford & Sons",2010
317,"George Michael",1996
318,"Billy Joel",1978
319,"Johnny Cash",1963
320,"Seal",1994
321,"Abel",2000
322,"Ultravox",1981
323,"Sinead O'Connor",1990
324,"Santana",1978
325,"Editors",2007
326,"Bob Marley & The Wailers",1977
327,"Bruce Springsteen",1985
328,"Dire Straits",1985
329,"Damien Rice",2006
330,"Neil Diamond",1969
331,"Alice Cooper",1989
332,"Meat Loaf",1977
333,"Within Temptation",2002
334,"Michael Jackson",1983
335,"Guns N' Roses",1989
336,"Acda & De Munnik",1997
337,"Arctic Monkeys",2013
338,"Justin Timberlake",2016
339,"De Dijk",1990
340,"Frank Sinatra",1969
341,"Prince",1984
342,"Neil Young",1989
343,"Normaal",1977
344,"Bløf",2003
345,"The Waterboys",1986
346,"Goo Goo Dolls",1999
347,"America",1972
348,"Neil Young",1977
349,"Ramses Shaffy",2005
349,"Liesbeth List",2005
349,"Alderliefste",2005
350,"The Proclaimers",1988
351,"Bløf",1998
352,"Eagles",1972
353,"Volbeat",2007
354,"Supertramp",1979
355,"Tom Odell",2012
356,"The Band",1968
357,"Bruce Springsteen",1975
358,"Muse",2001
359,"Green Day",1994
360,"Boudewijn de Groot",1966
361,"André Hazes",1983
362,"Elvis Costello",1999
363,"Jim Croce",1973
364,"Herbert Grönemeyer",1988
365,"Acda & De Munnik",2002
366,"Wham!",1984
367,"Rowwen Hèze",2000
368,"Massive Attack",1991
369,"Pink Floyd",1973
370,"Earth Wind & Fire",1978
371,"Boudewijn de Groot",2004
372,"The Common Linnets",2014
373,"Bløf",1999
374,"Bon Jovi",1986
375,"AC/DC",1980
376,"Nena",1983
377,"Foo Fighters",1999
378,"David Bowie",1972
379,"André Hazes",1977
380,"Robbie Williams",2002
381,"Lynyrd Skynyrd",1974
382,"Alicia Keys",2009
383,"Eric Clapton",1988
384,"The Alan Parsons Project",1982
385,"Bob Dylan",1965
386,"Paul de Leeuw",1997
387,"Frankie Goes To Hollywood",1984
388,"Bee Gees",1978
389,"Elton John",1971
390,"Phil Collins",1989
391,"Guns N' Roses",1994
392,"David Bowie",1983
393,"Dire Straits",1980
394,"Iron Maiden",1988
395,"Sia",2013
396,"Coldplay",2011
397,"Racoon",2011
398,"Linkin Park",2004
399,"Queen",1991
400,"Kiss",1979
401,"Skik",1997
402,"Pink Floyd",1973
403,"Nirvana",1994
404,"The Doors",1967
405,"Linkin Park",2004
405,"Jay Z",2004
406,"Muse",2002
407,"U2",1983
408,"Pink Floyd",1973
409,"Queen",1977
410,"Ed Sheeran",2011
411,"The Beatles",1966
412,"George Michael",1990
413,"Underworld",1996
414,"Kensington",2015
415,"Al Stewart",1977
416,"Michael Jackson",1988
417,"Chris Isaak",1991
418,"Princ",1996
419,"U2",1984
420,"Aerosmith",1998
421,"The Doors",1971
422,"The Police",1979
423,"B.B. King",1969
